bus_id,voltage,dc,symbol,under_construction,tags,x,y,country,geometry,role
BA4-400,400,f,Substation,f,BA4,18.606076809486325,44.480645485154994,BA,POINT (18.606076809486325 44.480645485154994),ba
BA5-220,220,f,Substation,f,BA5,19.06967112315904,44.40383966176981,BA,POINT (19.069671123159033 44.40383966176981),ba
BA5-400,400,f,Substation,f,BA5,19.06996587767301,44.40400620882524,BA,POINT (19.06996587767301 44.40400620882524),ba
BA6-220,220,f,Substation,f,BA6,17.962361357541017,44.19172867704639,BA,POINT (17.962361357541017 44.191728677046385),ba
BA7-220,220,f,Substation,f,BA7,18.106497799999985,44.11134848994992,BA,POINT (18.106497799999985 44.11134848994992),ba
BA8-220,220,f,Substation,f,BA8,18.0602515,44.09301888993531,BA,POINT (18.0602515 44.09301888993531),ba
BA9-220,220,f,Substation,f,BA9,18.109364416888965,44.0815467972944,BA,POINT (18.109364416888965 44.0815467972944),ba
HR1-220,220,f,Substation,f,HR1,16.35844589999999,45.35731309090436,HR,POINT (16.35844589999999 45.35731309090436),border
ME2-400,400,f,Substation,f,ME2,18.8584697,43.27480578926871,ME,POINT (18.858469699999997 43.27480578926871),border
ME4-220,220,f,Substation,f,ME4,18.99595170002566,42.67072593876423,ME,POINT (18.99595170002566 42.67072593876423),border
ME5-400,400,f,Substation,f,ME5,18.8779871,42.55582418865856,ME,POINT (18.8779871 42.55582418865856),border
way/113757307-220,220,f,Substation,f,way/113757307,18.420983798347297,45.28870540962547,HR,POINT (18.420983798347297 45.28870540962547),border
way/171251171-220,220,f,Substation,f,way/171251171,18.23571320083028,42.61050549562968,BA,POINT (18.23571320083028 42.610505495629674),ba
way/175002028-400,400,f,Substation,f,way/175002028,18.315516969695054,43.88274824216157,BA,POINT (18.315516969695054 43.88274824216157),ba
way/222962996-400,400,f,Substation,f,way/222962996,18.965914839988223,44.68645824024574,BA,POINT (18.965914839988226 44.68645824024574),ba
way/236110936-400,400,f,Substation,f,way/236110936,19.612584150313094,45.01629601123313,RS,POINT (19.612584150313094 45.01629601123313),border
way/245190169-220,220,f,Substation,f,way/245190169,18.333137433557468,42.67719632995537,BA,POINT (18.333137433557468 42.67719632995537),ba
way/245190169-400,400,f,Substation,f,way/245190169,18.33342093302511,42.67736538451529,BA,POINT (18.33342093302511 42.67736538451529),ba
way/251735977-220,220,f,Substation,f,way/251735977,17.264451011211023,44.32863795543143,BA,POINT (17.264451011211023 44.328637955431425),ba
way/317496363-220,220,f,Substation,f,way/317496363,20.04399578939664,43.82349003216872,RS,POINT (20.04399578939664 43.82349003216872),border
way/43337263-400,400,f,Substation,f,way/43337263,16.50127907148467,43.60043328704915,HR,POINT (16.50127907148467 43.60043328704915),border
way/59683455-220,220,f,Substation,f,way/59683455,16.702004592938074,43.45514307124362,HR,POINT (16.702004592938074 43.45514307124362),border
way/692824732-220,220,f,Substation,f,way/692824732,18.435928500334384,44.905013556635765,BA,POINT (18.435928500334384 44.905013556635765),ba
way/79818891-220,220,f,Substation,f,way/79818891,16.71876991179986,44.94099405009348,BA,POINT (16.71876991179986 44.94099405009348),ba
way/841600752-220,220,f,Substation,f,way/841600752,18.604885316340617,44.52231833808715,BA,POINT (18.604885316340617 44.52231833808715),ba
way/89823918-400,400,f,Substation,f,way/89823918,18.663329039744493,45.47318683998,HR,POINT (18.663329039744493 45.47318683998),border
way/89827347-220,220,f,Substation,f,way/89827347,17.769573186391867,43.30302578903101,BA,POINT (17.769573186391867 43.303025789031004),ba
way/89827347-400,400,f,Substation,f,way/89827347,17.769858195754946,43.3031963063133,BA,POINT (17.769858195754946 43.3031963063133),ba
way/96704507-220,220,f,Substation,f,way/96704507,16.913620388699012,45.448081289056574,HR,POINT (16.913620388699012 45.448081289056574),border
